page_name,page_id,party,source
GroenLinks Nijmegen,383355255040336,GroenLinks,NA
ChristenUnie Ommen,384737181678824,ChristenUnie,NA
Sgp Kampen,385564664900332,SGP,NA
PVV Utrecht,385625301862587,PVV,NA
GroenLinks Sittard-Geleen,386396184818902,GroenLinks,NA
PAL GroenLinks,387703957918671,GroenLinks,NA
DWARS Rotterdam-Rijnmond,391481867673026,GroenLinks,NA
VVD Breda,394219543964508,VVD,NA
ChristenUnie Eemsdelta,394558224722257,ChristenUnie,NA
CDA Vijfheerenlanden,397283743670490,CDA,NA
ChristenUnie Zwolle,402039413225497,ChristenUnie,NA
ChristenUnie Flevoland,403943403087425,ChristenUnie,NA
Madeleine van Toorenburg,404443543059212,CDA,NA
Jonge Democraten Brabant,406312749428070,D66,NA
Julian Bushoff,408189122964674,PvdA,NA
SP Arnhem,408987755826785,SP,NA
CDA Barneveld,409371815837560,CDA,NA
Lara Wolters,412036619614117,PvdA,NA
PvdA-Hoorn,418227798205443,PvdA,NA
CDA Aalten-Dinxperlo,418727481496257,CDA,NA
VVD Hilversum,423071014421919,VVD,NA
PvdA Nissewaard,423624667726498,PvdA,NA
GroenLinks Venlo,428488197166010,GroenLinks,NA
CDA Lansingerland,429679917098992,CDA,NA
CDA Vught Helvoirt Cromvoirt,430597160607656,CDA,NA
Jongerenbeweging Oppositie,432294193627700,DENK,NA
Jonge Democraten Wageningen,433064853551671,D66,NA
SGP,433611050005553,SGP,NA
GroenLinks Oosterhout,434409393299952,GroenLinks,NA
GroenLinks Alphen aan den Rijn,434756543235602,GroenLinks,NA
Toine Manders,435867793202351,CDA,NA
PvdA Enschede,436001856449324,PvdA,NA
CDA Gouda,441341285986856,CDA,NA
Zùmmers Belang CDA,445945465509986,CDA,NA
CDA Lisse,449134611796644,CDA,NA
De Boxtelse VVD,449240315186621,VVD,NA
PVV Gelderland,449928585192308,PVV,NA
PvdA Utrecht,451407014874001,PvdA,NA
VVD Lelystad,453689644643513,VVD,NA
SP Doesburg,454775281239898,SP,NA
VVD Nijkerk-Hoevelaken,457506067621492,VVD,NA
D66 Dijk en Waard,458832407560387,D66,NA
Jonge Democraten Arnhem-Nijmegen,460264454006488,D66,NA
CDA Dongen - 's Gravenmoer,461778550537027,CDA,NA
D66 Bloemendaal,466120763493964,D66,NA
VVD Alphen a/d Rijn,473422542679870,VVD,NA
PvdA Geldrop-Mierlo,476345199077535,PvdA,NA
Partij van de Arbeid Zaanstad,476388839115117,PvdA,NA
VVD Landgraaf,476759392439445,VVD,NA
Jonge Democraten Groningen,479111832122162,D66,NA
CDA Pride,480488435784054,CDA,NA
D66 Gennep,483088901801643,D66,NA
CDA Barendrecht,483478691758983,CDA,NA
DWARS Utrecht,484344661624749,GroenLinks,NA
JOVD Rijk van Nijmegen c.a.,489466991169762,VVD,NA
SP Vlaardingen,490557484330937,SP,NA
CDA Zoeterwoude,495077074013552,CDA,NA
SP Goirle,497053027078764,SP,NA
VVD Leidschendam-Voorburg,498944610134140,VVD,NA
JOVD Hart van Brabant,499191090115233,VVD,NA
VVD Stede Broec,504176193038156,VVD,NA
PvdA Almelo,508079819307153,PvdA,NA
D66 Heerlen,509188269199628,D66,NA
Pieter Paul Slikker - PvdA 073,509675125832784,PvdA,NA
SGP Utrechtse Heuvelrug,510879102598586,SGP,NA
Anne-Marijke Podt Kandidaat Tweede Kamer D66,515445868547714,D66,NA
PvdA Amstelveen,516828615098303,PvdA,NA
VVD Losser,521653237872282,VVD,NA
Groenlinks Kampen,521898577941258,GroenLinks,NA
Partij voor de Dieren Dronten,522244664875827,PvdD,NA
PvdA Almere,522603781144544,PvdA,NA
VVD Rijswijk,529757857120942,VVD,NA
D66,52985377549,D66,NA
Partij voor de vrijheid - Veenendaal,530225947335941,PVV,NA
CDA Amsterdam,535450106537661,CDA,NA
Annie Schreijer,536131049841051,CDA,NA
VVD Het Hogeland,542359679187058,VVD,NA
Partij van de Arbeid Woensdrecht,547661161996857,PvdA,NA
GroenLinks Oss,550239991805691,GroenLinks,NA
D66 Middelburg,551955401505079,D66,NA
Alexander Kreule VVD,553284941850879,VVD,NA
SP Bernheze,555679867783372,SP,NA
Jonge Democraten Utrecht,556182444396338,D66,NA
Stan Peters PvdA,560182477659896,PvdA,NA
ChristenUnie Apeldoorn,562357297179689,ChristenUnie,NA
Peter van Kessel,562459247528401,VVD,NA
PvdA Maassluis,564725660245239,PvdA,NA
Mr. Hans van Mierlo Stichting,571333213225618,D66,NA
SP Purmerend,571432623341874,SP,NA
GroenLinks Drenthe,573092316220069,GroenLinks,NA
Anita Pannebakker D66,581269312322294,D66,NA
PvdA-Harderwijk,583900934989488,PvdA,NA
PvdA Zoetermeer,589938234422084,PvdA,NA
VVD Heerenveen,590372277656268,VVD,NA
CDA Kerkrade,599313950125078,CDA,NA
VVD Wijdemeren,604919512865485,VVD,NA
Forum voor Democratie -FVD,609816282477420,FvD,NA
CDA Mill en Sint Hubert,610561445683906,CDA,NA
"DWARS, GroenLinkse Jongeren",610950552253067,GroenLinks,NA
Pvda Montferland,613711391989275,PvdA,NA
CDA Haarlem,616257468385419,CDA,NA
PvdA Medemblik,616490005068036,PvdA,NA
D66 Harderwijk/Hierden,617251821650596,D66,NA
CDA Drimmelen,618699471497068,CDA,NA
CDA Purmerend,626270210729407,CDA,NA
Pvda Den Bosch,627201893971363,PvdA,NA
D66 Boxtel,628289240576959,D66,NA
DENK Eindhoven,628535584020989,DENK,NA
CDA Valkenburg a/d Geul,630170627073175,CDA,NA
PvdA Smallingerland,630864096938801,PvdA,NA
D66 Internationaal,642930529119017,D66,NA
SP Enschede,644446145669723,SP,NA
Peter van Dalen,647389765316921,ChristenUnie,NA
GroenLinks Lochem,661049547329075,GroenLinks,NA
Pvda Alkmaar,667585943263634,PvdA,NA
D66 Steenwijkerland,669907336364750,D66,NA
SGP Nunspeet,671037142966257,SGP,NA
SGP Utrechtse Heuvelrug,673294653100165,SGP,NA
Rob Jetten,684205995075734,D66,NA
CDA West Maas en Waal,686529124720085,CDA,NA
Jesse Klaver,687496011309020,GroenLinks,NA
VVD Lochem,689730844383927,VVD,NA
DWARS Groningen,692001597477360,GroenLinks,NA
Groenlinks Baarn,698044973586589,GroenLinks,NA
CDA Noordwijk-Noordwijkerhout-De Zilk,698451706850384,CDA,NA
SP Noord-Holland,699014280188216,SP,NA
GroenLinks Zoetermeer,703877319733931,GroenLinks,NA
VVD Venray,715536175131982,VVD,NA
BIJ1,717249231795539,BIJ1,NA
VVD Kirchroa,721812541177719,VVD,NA
VVD Aalsmeer,731311010222651,VVD,NA
CDA Boxtel,748985915209148,CDA,NA
PvdA Zeeland,759417477428801,PvdA,NA
CDA Zwijndrecht,760125597332468,CDA,NA
Agnes Jongerius,764061133777036,PvdA,NA
D66 Amersfoort,77106680798,D66,NA
CDA Bergen op Zoom,771521899540181,CDA,NA
CDA Provincie Groningen,773700796038689,CDA,NA
VVD Waterland,783192395169199,VVD,NA
Tineke Strik,783842828375820,GroenLinks,NA
SGP Zeeland,784559828291177,SGP,NA
D66 Son en Breugel,795630170492563,D66,NA
VVD Papendrecht,806683962693581,VVD,NA
50plus Noord Brabant,808087532599076,50PLUS,NA
VVD Fryslan,818385898182914,VVD,NA
Lenny Putman,823097471184627,GroenLinks,NA
Henk Jan Ormel,823537391322678,CDA,NA
Martijn van Helvert,825800654145354,CDA,NA
VVD Wijk Bij Duurstede,828124077223507,VVD,NA
Lilian Marijnissen,844559615710915,SP,NA
Partij voor de Dieren Flevoland,850253651682648,PvdD,NA
VVD Voerendaal,852631531480102,VVD,NA
VVD Drimmelen,853228418123320,VVD,NA
PvdA Westland,862823187132723,PvdA,NA
GroenLinks Lutty van den Berg,873148779417275,GroenLinks,NA
GroenLinks Veldhoven,888203524868856,GroenLinks,NA
CDA Zwolle,890769134318110,CDA,NA
Boaz Adank,897610483722357,VVD,NA
GroenLinks Best,906928256312779,GroenLinks,NA
CDA Den Helder,920592431361475,CDA,NA
De Veldhovense VVD,920935371318767,VVD,NA
Jeroen Janssen - kandidaat Europarlementariër,921841297985499,VVD,NA
VVD Eemsdelta,930099740342915,VVD,NA
VVD Zaanstad,937513793002837,VVD,NA
GroenLinks Bloemendaal,939048969472738,GroenLinks,NA
VVD Voorne,945761432159312,VVD,NA
PVV Dordrecht,957516271079756,PVV,NA
Wybren van Haga,969158383214898,FvD,NA
VVD Tytsjerksteradiel,971443309666536,VVD,NA
GroenLinks Weststellingwerf,995464427271491,GroenLinks,NA
Robert Veldhuis BBB,101808345034398,BBB,NA
